Event Category,Page Title,Total Events,Unique Events,Event Value,Avg. Value
Download,"Addresses: Iowa County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Iron County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: La Crosse County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Lafayette County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Langlade County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Lincoln County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Manitowoc County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Marinette County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Marquette County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Menominee County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Oconto County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Ozaukee County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Portage County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Price County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Richland County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Shawano County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Sheboygan County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Taylor County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Walworth County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Washburn County, Wisconsin, 2018 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Waukesha County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Waupaca County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Waushara County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Addresses: Winnebago County, Wisconsin 2021 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,All Disaster Declarations [Iowa] - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Amagak: Greenland - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"American Indian Reservations, 1995 - Alabama - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Areas of sinkholes and sinking-stream basins with locations of cave openings and springs in Central Southern Indiana - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Armada, Township 5N Range 13E: Macomb County, Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Bear Lake, Township 23N Range 15W: Manistee County, Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,BigHorn Sheep Hunting Zones: State of Nebraska - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Building Footprints: Franklin County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Building Footprints: Sioux Falls, South Dakota - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Cape Town, South Africa - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Census Block Groups [City of Philadelphia, Pennsylvania] (2020) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Census Block Groups: Vanderburgh County, Indiana, United States - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Central Indiana Power Company subsidiaries - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"City Council Districts: Baltimore, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Community Tree Canopy, Wisconsin 2013 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Contour 2ft: City of Baltimore, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Contours (2'): Franklin County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Contours 10ft: Baltimore, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Contours: Allegheny County, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"County Boundary: Allegan County, Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Countywide Zoning Districts: Crawford County, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Critical Area Buffer Exemption Areas: Anne Arundel County, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Damage Assessment of San Pascual Municipality, Northeastern Part of the Masbate Region, Bicol Region Province - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,DNR Observation Well Network Locations - Public version: Minnesota - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Federal Land (RPTA Ownership): Washington D.C. - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"FEMA Flood Insurance Rate Map Panels: Summit County, Ohio, 2009 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Grants In Aid: Washington, D.C., 2015 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Illinois-Missouri, Quincy quadrangle. - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Impaired Streams of Iowa: State of Iowa, 2018 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Improved map of the territories of Michigan and Ouisconsin, pronounced Wisconsin - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Indian treaties which opened land to settlers - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Industrial Park Locations: Indiana - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"K-38-30 Орджоникидзе (Vladikavkaz, Russia) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Key Sheet Grid: Baltimore County, Maryland - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"L-37-16 Платоновка (Platonovka, Ukraine) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Lake County Wetland Inventory: Lake County, Illinois - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Land Use: Kenosha County, Wisconsin, 1963 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"LiDAR 2015 - DEM 6ft: Allegheny County/Pittsburgh, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"LiDAR 2017 - Terrain: Allegheny County, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"LiDAR-Derived 2-foot Contours: Sheboygan County, Wisconsin, 2004 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"M-35-58-A Топорище (Toporyshche, Ukraine) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
